account_id,step,day,profile,is_at_risk,hour_of_day,is_night,night_ratio_7d,night_ratio_14d,temporal_shift,amount,amount_log,amount_vs_avg_7d,total_amount_7d,tx_count_24h,tx_count_7d,burst_score,unique_recv_7d,unique_recv_24h,qris_ratio_7d,channel,drain_cycle_flag,dormant_flag,is_gambling
AUG_0021,7,0,normal,0,7,0,0.0,0.0,0.0,188338.0,12.146,1.0,0.0,0,0,0.0,0,0,0.0,ewallet,0,0,0
AUG_0021,23,0,normal,0,23,1,0.0,0.0,0.0,393948.0,12.884,2.0917,188338.0,1,1,7.0,1,1,0.0,transfer,0,0,0
AUG_0021,45,1,normal,0,21,0,0.5,0.5,0.5,263303.0,12.4811,0.9044,582286.0,1,2,3.5,2,1,0.0,ewallet,0,0,0
AUG_0021,93,3,normal,0,21,0,0.3333,0.3333,0.3333,321314.0,12.6802,1.14,845589.0,0,3,0.0,3,0,0.0,ewallet,0,0,0
AUG_0021,138,5,normal,0,18,0,0.25,0.25,0.25,174294.0,12.0685,0.5975,1166903.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0021,172,7,normal,0,4,1,0.2,0.2,0.2,191751.0,12.164,0.7149,1341197.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
AUG_0021,201,8,normal,0,9,0,0.25,0.3333,-0.25,144903.0,11.8838,0.6097,950662.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0021,232,9,normal,0,16,0,0.25,0.2857,-0.0833,431219.0,12.9744,2.0725,832262.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0021,268,11,normal,0,4,1,0.25,0.25,0.0,177639.0,12.0875,0.7542,942167.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0021,312,13,normal,0,0,1,0.5,0.3333,0.3,248722.0,12.4241,1.0522,945512.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0021,341,14,normal,0,5,0,0.5,0.4,0.1667,154822.0,11.95,0.6178,1002483.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0021,378,15,normal,0,18,0,0.5,0.3333,0.3,167448.0,12.0284,0.6616,1012402.0,0,4,0.0,3,0,0.0,ewallet,0,0,0
AUG_0021,421,17,normal,0,13,0,0.5,0.3333,0.3,256589.0,12.4552,1.371,748631.0,0,4,0.0,3,0,0.0,transfer,0,0,0
AUG_0021,445,18,normal,0,13,0,0.25,0.3333,-0.15,204122.0,12.2265,0.9866,827581.0,1,4,1.75,3,1,0.0,ewallet,0,0,0
AUG_0021,468,19,normal,0,12,0,0.2,0.3,-0.2,148596.0,11.909,0.7201,1031703.0,1,5,1.4,3,1,0.0,transfer,0,0,0
AUG_0021,508,21,normal,0,4,1,0.0,0.3,-0.6,233477.0,12.3608,1.2531,931577.0,0,5,0.0,3,0,0.0,ewallet,0,0,0
