account_id,risk_score_max,risk_score_mean,profile,is_at_risk_true,n_transactions,avg_night_ratio,avg_tx_24h,avg_unique_recv,avg_burst_score,avg_temporal_shift,avg_qris_ratio,final_risk_score,risk_level,recommendation,top_triggers
AUG_0021,60.5,26.189285,normal,0,28,0.4342642857142857,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.15986428571428574,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0022,60.9,19.817858,normal,0,28,0.3226178571428572,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.1101142857142857,0.0,60.9,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0023,60.5,12.410714,normal,0,28,0.10892857142857142,0.42857142857142855,2.7857142857142856,0.8196464285714286,-0.017264285714285715,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Velocity burst
AUG_0024,70.8,25.439285,normal,0,28,0.4342642857142857,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.15986428571428574,0.0,70.8,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0025,60.5,15.114286,normal,0,28,0.2666678571428572,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.0017857142857142852,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0026,60.5,12.903571,normal,0,28,0.2666678571428572,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.0017857142857142852,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0027,60.5,14.642858,normal,0,28,0.10892857142857142,0.42857142857142855,2.7857142857142856,0.8196464285714286,-0.017264285714285715,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Velocity burst
AUG_0028,64.7,18.557142,normal,0,28,0.2880964285714286,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.11607142857142858,0.0,64.7,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0029,68.9,17.642857,normal,0,28,0.2880964285714286,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.11607142857142858,0.0,68.9,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0030,60.5,15.342857,normal,0,28,0.2666678571428572,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.0017857142857142852,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0031,60.5,13.867858,normal,0,28,0.21785714285714283,0.42857142857142855,2.7857142857142856,0.8196464285714286,-0.05119285714285715,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0032,60.5,15.439285,normal,0,28,0.3226178571428572,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.1101142857142857,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0033,76.9,17.796429,normal,0,28,0.3226178571428572,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.1101142857142857,0.0,76.9,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0034,91.0,24.064285,normal,0,28,0.2633535714285714,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.015135714285714282,0.0,91.0,Critical,Eskalasi ke tim compliance & flag ke OJK,Banyak penerima & Aktivitas malam tinggi
AUG_0035,60.5,19.803572,normal,0,28,0.3670107142857143,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.14022142857142855,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0036,66.0,20.210714,normal,0,28,0.2633535714285714,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.015135714285714282,0.0,66.0,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0037,60.5,20.717855,normal,0,28,0.3670107142857143,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.14022142857142855,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0038,65.6,16.592857,normal,0,28,0.22066785714285714,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.05102142857142857,0.0,65.6,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0039,60.5,18.353573,normal,0,28,0.22049642857142857,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.007992857142857145,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0040,60.5,13.667857,normal,0,28,0.18214285714285713,0.42857142857142855,2.7857142857142856,0.8196464285714286,-0.03928571428571428,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0041,61.6,17.64643,normal,0,28,0.3821428571428571,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.10774285714285714,0.0,61.6,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0042,76.4,19.139286,normal,0,28,0.3821428571428571,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.10774285714285714,0.0,76.4,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0043,62.8,14.935715,normal,0,28,0.2666678571428572,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.0017857142857142893,0.0,62.8,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0044,60.5,14.425,normal,0,28,0.19506785714285715,0.42857142857142855,2.7857142857142856,0.8196464285714286,-0.008503571428571428,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
AUG_0045,62.5,17.65357,normal,0,28,0.37941785714285714,0.42857142857142855,2.7857142857142856,0.8196464285714286,0.08953928571428571,0.0,62.5,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima
AUG_0046,60.5,12.982142,normal,0,28,0.21785714285714283,0.42857142857142855,2.7857142857142856,0.8196464285714286,-0.05119285714285715,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi
